instrument,mean,standard error
distortion,0.04459667,0.0027517667040228844
harp,0.009625915,0.0006744084879755974
harpsichord,0.012624383,0.0010203530080616474
piano,0.005305556,0.0003050823695957661
timpani,0.012255916,0.0014082134701311588
