instrument,mean,standard error
distortion,0.029135715,0.0008290181867778301
harp,0.0067860503,0.0003162698587402701
harpsichord,0.008551656,0.0004091951996088028
piano,0.0052804016,0.0002775362227112055
timpani,0.00831282,0.00030610098037868737
