instrument,mean,standard error
distortion,0.028362699,0.001194656826555729
harp,0.0045431387,0.00025611571036279204
harpsichord,0.007238509,0.0005659204907715321
piano,0.0023670273,0.00031942285131663083
timpani,0.006455983,0.0006441007833927869
