instrument,mean,standard error
distortion,0.026105657,0.0011602864600718022
harp,0.0067316084,0.0009046868421137333
harpsichord,0.009051792,0.0008947042748332024
piano,0.0044194628,0.00023150620982050895
timpani,0.0058684796,0.00046601034700870513
