instrument,mean,standard error
distortion,0.026031487,0.0011274146847426892
harp,0.0053818603,0.0006738875061273574
harpsichord,0.007796848,0.0007056851405650377
piano,0.0029098177,0.00034361386206001044
timpani,0.007292271,0.0007019669748842717
