instrument,mean,standard error
distortion,0.055857167,0.006006843224167824
harp,0.011367091,0.0008606455288827419
harpsichord,0.009758822,0.0008968969807028771
piano,0.0076887477,0.0010081540793180465
timpani,0.011513209,0.0004277557134628296
